title,points,hash,topic,category,icon,image
Enforce Password History,1,e4bcbfa375a5c514a441c9ebd5330301,Password Policy,Tasks,vpn_key,training
Maximum Password Age,1,2ce82f78e2b54108e94e1205eea08aa5,Password Policy,Tasks,vpn_key,training
Minimum Password Age,1,5f721e6e91f4f7b7e747d94b4815602e,Password Policy,Tasks,vpn_key,training
Minimum Password Length,1,3ae3e09de0b5aa447462abffdd4e64cf,Password Policy,Tasks,vpn_key,training
Password Must Meet Complexity Requirements,1,2495caf7b63f7c736421c9b61809cb7d,Password Policy,Tasks,vpn_key,training
Store Passwords Using Reversible Encryption,1,2bd3cc152bc1d59419f08d81a1baa560,Password Policy,Tasks,vpn_key,training
User Bad's Password Changed,1,582abf2176c8a9687a7abd903e8358aa,Password Policy,Tasks,vpn_key,training
Account Lockout Duration,1,2add4716f47d5e8a6ab3434d6072a482,Account Lockout Policy,Tasks,lock,training
Account Lockout Threshold,1,483a82de5fc64e1234704d95f0e7eee2,Account Lockout Policy,Tasks,lock,training
Reset Account Lockout Counter After,1,dc9ec212878df06c64359dfbe3d61eec,Account Lockout Policy,Tasks,lock,training
Audit Logon Events,1,e963c7370cc904035c2ad441859affbf,Audit Policy,Tasks,view_list,training
Audit Privilege Use,1,44b30c3b51f80e2141b506a033b33c91,Audit Policy,Tasks,view_list,training
Manage Auditing and Security Log,1,453745221b093f69362951879d04ac84,User Rights Assignment,Tasks,recent_actors,training
Interactive Logon: Do not require CTRL+ALT+DEL,1,e2c172f7ff8ab1ccc4da984beddd84fd,Security Options,Tasks,verified_user,training
User Guest removed from Administrators Folder,1,41f0514346c188dc52695da2d948d91c,Group Policy,Tasks,group_work,training
Remote Registry Stopped,1,fd9ae97747044edec97be140a3ddca76,Services,Tasks,settings,training
Windows Firewall is Running,1,5aa406b5c60a39b07d939bc178e27adb,Services,Tasks,settings,training
C Drive has been Unshared,1,8f09ca03137ae02a347f74fb166062a2,Drive Sharing,Tasks,supervisor_account,training
User Bad has been Disabled,1,4600d2b03d1af1eae4063948528736b4,Accounts,Tasks,perm_identity,training
Python 2.7.9 has been Uninstalled,1,bfa9c06a50ab668301e86c4690e9ed3e,Installed Programs,Tasks,open_in_new,training
Hidden file 'Hidden.txt' has been removed,1,be4d5a31c0b1efa0e7d78195f474a2a0,Deleted Files,Tasks,not_interested,training
Don't allow connections to this computer,1,92fbb50c82d9d6c14a107c9d2dc7fb8f,Remote Settings,Tasks,settings_remote,training
Forensic Question 1 Correctly Answered,1,9bcdb4ccf848d90fd6c0cc42b399ce0e,Story,Story,assignment,training
